"n","pA","sdC1","sdC2","rho","estimator","tau","true_q","avg_q_hat","bias_q_hat","mse_q_hat","var_q_hat"
100,0.5,0.1,0.05,-0.5,"Direct",0.25,0.86365,0.883,0.01935,0.000374,NA
100,0.5,0.1,0.05,-0.5,"Direct",0.5,1.33703,1.402,0.06497,0.004221,NA
100,0.5,0.1,0.05,-0.5,"Direct",0.75,1.960201,1.884,-0.076201,0.005807,NA
100,0.5,0.1,0.05,-0.5,"ISDLT",0.25,0.86365,0.931,0.06735,0.004536,NA
100,0.5,0.1,0.05,-0.5,"ISDLT",0.5,1.33703,1.402,0.06497,0.004221,NA
100,0.5,0.1,0.05,-0.5,"ISDLT",0.75,1.960201,1.919,-0.041201,0.001698,NA
100,0.5,0.1,0.05,0,"Direct",0.25,0.86365,0.989,0.12535,0.015713,NA
100,0.5,0.1,0.05,0,"Direct",0.5,1.33703,1.33,-0.00703,4.9e-05,NA
100,0.5,0.1,0.05,0,"Direct",0.75,1.960201,1.951,-0.009201,8.5e-05,NA
100,0.5,0.1,0.05,0,"ISDLT",0.25,0.86365,1.022,0.15835,0.025075,NA
100,0.5,0.1,0.05,0,"ISDLT",0.5,1.33703,1.344,0.00697,4.9e-05,NA
100,0.5,0.1,0.05,0,"ISDLT",0.75,1.960201,1.998,0.037799,0.001429,NA
100,0.5,0.1,0.05,0.5,"Direct",0.25,0.86365,0.871,0.00735,5.4e-05,NA
100,0.5,0.1,0.05,0.5,"Direct",0.5,1.33703,1.288,-0.04903,0.002404,NA
100,0.5,0.1,0.05,0.5,"Direct",0.75,1.960201,1.948,-0.012201,0.000149,NA
100,0.5,0.1,0.05,0.5,"ISDLT",0.25,0.86365,0.855,-0.00865,7.5e-05,NA
100,0.5,0.1,0.05,0.5,"ISDLT",0.5,1.33703,1.355,0.01797,0.000323,NA
100,0.5,0.1,0.05,0.5,"ISDLT",0.75,1.960201,1.986,0.025799,0.000666,NA
100,0.5,0.1,0.25,-0.5,"Direct",0.25,0.86365,0.886,0.02235,5e-04,NA
100,0.5,0.1,0.25,-0.5,"Direct",0.5,1.33703,1.492,0.15497,0.024016,NA
100,0.5,0.1,0.25,-0.5,"Direct",0.75,1.960201,2.243,0.282799,0.079975,NA
100,0.5,0.1,0.25,-0.5,"ISDLT",0.25,0.86365,0.992,0.12835,0.016474,NA
100,0.5,0.1,0.25,-0.5,"ISDLT",0.5,1.33703,1.531,0.19397,0.037624,NA
100,0.5,0.1,0.25,-0.5,"ISDLT",0.75,1.960201,2.195,0.234799,0.055131,NA
100,0.5,0.1,0.25,0,"Direct",0.25,0.86365,0.95,0.08635,0.007456,NA
100,0.5,0.1,0.25,0,"Direct",0.5,1.33703,1.349,0.01197,0.000143,NA
100,0.5,0.1,0.25,0,"Direct",0.75,1.960201,1.999,0.038799,0.001505,NA
100,0.5,0.1,0.25,0,"ISDLT",0.25,0.86365,0.906,0.04235,0.001794,NA
100,0.5,0.1,0.25,0,"ISDLT",0.5,1.33703,1.466,0.12897,0.016633,NA
100,0.5,0.1,0.25,0,"ISDLT",0.75,1.960201,2.185,0.224799,0.050535,NA
100,0.5,0.1,0.25,0.5,"Direct",0.25,0.86365,0.878,0.01435,0.000206,NA
100,0.5,0.1,0.25,0.5,"Direct",0.5,1.33703,1.28,-0.05703,0.003252,NA
100,0.5,0.1,0.25,0.5,"Direct",0.75,1.960201,1.922,-0.038201,0.001459,NA
100,0.5,0.1,0.25,0.5,"ISDLT",0.25,0.86365,0.848,-0.01565,0.000245,NA
100,0.5,0.1,0.25,0.5,"ISDLT",0.5,1.33703,1.317,-0.02003,0.000401,NA
100,0.5,0.1,0.25,0.5,"ISDLT",0.75,1.960201,2.02,0.059799,0.003576,NA
100,0.5,0.1,0.5,-0.5,"Direct",0.25,0.86365,0.943,0.07935,0.006296,NA
100,0.5,0.1,0.5,-0.5,"Direct",0.5,1.33703,1.306,-0.03103,0.000963,NA
100,0.5,0.1,0.5,-0.5,"Direct",0.75,1.960201,1.8,-0.160201,0.025664,NA
100,0.5,0.1,0.5,-0.5,"ISDLT",0.25,0.86365,0.919,0.05535,0.003064,NA
100,0.5,0.1,0.5,-0.5,"ISDLT",0.5,1.33703,1.317,-0.02003,0.000401,NA
100,0.5,0.1,0.5,-0.5,"ISDLT",0.75,1.960201,1.877,-0.083201,0.006922,NA
100,0.5,0.1,0.5,0,"Direct",0.25,0.86365,0.837,-0.02665,0.00071,NA
100,0.5,0.1,0.5,0,"Direct",0.5,1.33703,1.359,0.02197,0.000483,NA
100,0.5,0.1,0.5,0,"Direct",0.75,1.960201,1.962,0.001799,3e-06,NA
100,0.5,0.1,0.5,0,"ISDLT",0.25,0.86365,0.817,-0.04665,0.002176,NA
100,0.5,0.1,0.5,0,"ISDLT",0.5,1.33703,1.428,0.09097,0.008276,NA
100,0.5,0.1,0.5,0,"ISDLT",0.75,1.960201,2.254,0.293799,0.086318,NA
100,0.5,0.1,0.5,0.5,"Direct",0.25,0.86365,0.752,-0.11165,0.012466,NA
100,0.5,0.1,0.5,0.5,"Direct",0.5,1.33703,1.145,-0.19203,0.036876,NA
100,0.5,0.1,0.5,0.5,"Direct",0.75,1.960201,1.591,-0.369201,0.136309,NA
100,0.5,0.1,0.5,0.5,"ISDLT",0.25,0.86365,0.544,-0.31965,0.102176,NA
100,0.5,0.1,0.5,0.5,"ISDLT",0.5,1.33703,1.117,-0.22003,0.048413,NA
100,0.5,0.1,0.5,0.5,"ISDLT",0.75,1.960201,1.869,-0.091201,0.008318,NA
100,0.5,0.5,0.05,-0.5,"Direct",0.25,0.86365,0.795,-0.06865,0.004713,NA
