"n","p1","sdC1","sdC2","rho","s","F_true","avg_F_dir","avg_F_dir_sd","avg_F_hat","bias_dir","bias_dir_sd","bias_hat","mse_dir","mse_dir_sd","mse_hat","var_dir","var_dir_sd","var_hat","estimator","bias","mse","var"
100,0.25,0.05,0.25,0,7,0.928102,0.922,1,0.91274,-0.006102,0.071898,-0.015362,0.000253,0.005169,0.000544,0.00027,0,0.000385,"dir",-0.006102,0.000253,0.00027
100,0.25,0.05,0.25,0,7.5,0.942442,0.934,1,0.927588,-0.008442,0.057558,-0.014854,0.000455,0.003313,0.000551,0.00048,0,0.000412,"dir",-0.008442,0.000455,0.00048
100,0.25,0.05,0.25,0,8,0.953988,0.942,1,0.933019,-0.011988,0.046012,-0.020969,4e-04,0.002117,0.000882,0.00032,0,0.000552,"dir",-0.011988,4e-04,0.00032
100,0.25,0.05,0.25,0,8.5,0.963267,0.944,1,0.93917,-0.019267,0.036733,-0.024097,0.000755,0.001349,0.000988,0.00048,0,0.000509,"dir",-0.019267,0.000755,0.00048
100,0.25,0.05,0.25,0,9,0.970709,0.958,1,0.945545,-0.012709,0.029291,-0.025165,0.000458,0.000858,0.000966,0.00037,0,0.000417,"dir",-0.012709,0.000458,0.00037
100,0.25,0.05,0.25,0,9.5,0.976669,0.966,1,0.956374,-0.010669,0.023331,-0.020295,0.000298,0.000544,0.000586,0.00023,0,0.000217,"dir",-0.010669,0.000298,0.00023
100,0.25,0.05,0.25,0,10,0.981434,0.976,1,0.965262,-0.005434,0.018566,-0.016172,0.000134,0.000345,0.000368,0.00013,0,0.000133,"dir",-0.005434,0.000134,0.00013
100,0.25,0.05,0.25,0,10.5,0.985239,0.978,1,0.969391,-0.007239,0.014761,-0.015849,0.000148,0.000218,0.000329,0.00012,0,9.7e-05,"dir",-0.007239,0.000148,0.00012
100,0.25,0.05,0.25,0,11,0.988274,0.986,1,0.971545,-0.002274,0.011726,-0.016729,0.000109,0.000137,0.000347,0.00013,0,8.4e-05,"dir",-0.002274,0.000109,0.00013
100,0.25,0.05,0.25,0,11.5,0.990692,0.988,1,0.974353,-0.002692,0.009308,-0.01634,0.000143,8.7e-05,0.000357,0.00017,0,0.000113,"dir",-0.002692,0.000143,0.00017
100,0.25,0.05,0.25,0,12,0.992617,0.994,1,0.977724,0.001383,0.007383,-0.014893,6.6e-05,5.5e-05,0.000305,8e-05,0,0.000104,"dir",0.001383,6.6e-05,8e-05
100,0.25,0.05,0.25,0.5,0,0,0,0.11272,0.009636,0,0.11272,0.009636,0,0.013095,0.000173,0,0.000487,1e-04,"dir",0,0,0
100,0.25,0.05,0.25,0.5,0.5,0.081109,0.094,0.20672,0.104916,0.012891,0.125611,0.023808,0.00147,0.016685,0.001614,0.00163,0.001134,0.001309,"dir",0.012891,0.00147,0.00163
100,0.25,0.05,0.25,0.5,1,0.198748,0.216,0.32872,0.211789,0.017252,0.129972,0.013041,0.001122,0.018145,0.000783,0.00103,0.001565,0.000766,"dir",0.017252,0.001122,0.00103
100,0.25,0.05,0.25,0.5,1.5,0.31773,0.348,0.46072,0.340691,0.03027,0.14299,0.022962,0.001452,0.021694,0.00186,0.00067,0.001559,0.001666,"dir",0.03027,0.001452,0.00067
100,0.25,0.05,0.25,0.5,2,0.427593,0.47,0.58272,0.459644,0.042407,0.155127,0.032051,0.002798,0.026502,0.002748,0.00125,0.003047,0.00215,"dir",0.042407,0.002798,0.00125
