"n","p1","maxc","rho","estimator","tau","true_q","avg_q_hat","bias_q_hat","mse_q_hat","var_q_hat"
500,0.25,0.5,-0.5,"Direct",0.75,0.389479,0.389874,0.000395,0.000128,0.000128
500,0.25,0.5,-0.5,"IST",0.25,0.161163,0.13753,-0.023633,0.000832,0.000274
500,0.25,0.5,-0.5,"IST",0.5,0.26445,0.285174,0.020724,7e-04,0.000271
500,0.25,0.5,-0.5,"IST",0.75,0.389479,0.434692,0.045213,0.002322,0.000278
500,0.25,0.5,0,"Direct",0.25,0.161163,0.16168,0.000517,6.5e-05,6.5e-05
500,0.25,0.5,0,"Direct",0.5,0.26445,0.264822,0.000372,8.8e-05,8.8e-05
500,0.25,0.5,0,"Direct",0.75,0.389479,0.389612,0.000133,0.000136,0.000136
500,0.25,0.5,0,"IST",0.25,0.161163,0.104808,-0.056355,0.003665,0.00049
500,0.25,0.5,0,"IST",0.5,0.26445,0.281418,0.016968,0.000784,0.000497
500,0.25,0.5,0,"IST",0.75,0.389479,0.46431,0.074831,0.006207,0.000609
500,0.25,0.5,0.5,"Direct",0.25,0.161163,0.161164,1e-06,6.2e-05,6.3e-05
500,0.25,0.5,0.5,"Direct",0.5,0.26445,0.264596,0.000146,8.7e-05,8.7e-05
500,0.25,0.5,0.5,"Direct",0.75,0.389479,0.38941,-6.9e-05,0.00013,0.00013
500,0.25,0.5,0.5,"IST",0.25,0.161163,0.069846,-0.091317,0.009029,0.000692
500,0.25,0.5,0.5,"IST",0.5,0.26445,0.275562,0.011112,0.000886,0.000764
500,0.25,0.5,0.5,"IST",0.75,0.389479,0.494436,0.104957,0.011857,0.000843
500,0.5,0.1,-0.5,"Direct",0.25,0.161163,0.161224,6.1e-05,6.4e-05,6.4e-05
500,0.5,0.1,-0.5,"Direct",0.5,0.26445,0.265152,0.000702,9e-05,9e-05
500,0.5,0.1,-0.5,"Direct",0.75,0.389479,0.39047,0.000991,0.000133,0.000132
500,0.5,0.1,-0.5,"IST",0.25,0.161163,0.171998,0.010835,0.000209,9.1e-05
500,0.5,0.1,-0.5,"IST",0.5,0.26445,0.268118,0.003668,0.000141,0.000128
500,0.5,0.1,-0.5,"IST",0.75,0.389479,0.385794,-0.003685,0.000217,0.000204
500,0.5,0.1,0,"Direct",0.25,0.161163,0.161238,7.5e-05,6.6e-05,6.6e-05
500,0.5,0.1,0,"Direct",0.5,0.26445,0.26427,-0.00018,9.4e-05,9.4e-05
500,0.5,0.1,0,"Direct",0.75,0.389479,0.388814,-0.000665,0.000145,0.000144
500,0.5,0.1,0,"IST",0.25,0.161163,0.161184,2.1e-05,0.000117,0.000117
500,0.5,0.1,0,"IST",0.5,0.26445,0.266812,0.002362,0.000172,0.000167
500,0.5,0.1,0,"IST",0.75,0.389479,0.393338,0.003859,0.000247,0.000233
500,0.5,0.1,0.5,"Direct",0.25,0.161163,0.160674,-0.000489,6.1e-05,6.1e-05
500,0.5,0.1,0.5,"Direct",0.5,0.26445,0.263628,-0.000822,8.8e-05,8.8e-05
500,0.5,0.1,0.5,"Direct",0.75,0.389479,0.388652,-0.000827,0.000144,0.000144
500,0.5,0.1,0.5,"IST",0.25,0.161163,0.150396,-0.010767,0.000264,0.000148
500,0.5,0.1,0.5,"IST",0.5,0.26445,0.266338,0.001888,0.000207,0.000203
500,0.5,0.1,0.5,"IST",0.75,0.389479,0.40309,0.013611,0.000481,0.000296
500,0.5,0.25,-0.5,"Direct",0.25,0.161163,0.160926,-0.000237,6.3e-05,6.3e-05
500,0.5,0.25,-0.5,"Direct",0.5,0.26445,0.264576,0.000126,9.9e-05,9.9e-05
500,0.5,0.25,-0.5,"Direct",0.75,0.389479,0.389188,-0.000291,0.000136,0.000137
500,0.5,0.25,-0.5,"IST",0.25,0.161163,0.173882,0.012719,0.000258,9.6e-05
500,0.5,0.25,-0.5,"IST",0.5,0.26445,0.274692,0.010242,0.000214,0.000109
500,0.5,0.25,-0.5,"IST",0.75,0.389479,0.388316,-0.001163,0.000162,0.000161
